GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 290: O | GNU | clockwise > (41 turns, 66/59 moves, 0.01s)
Game 291: O | GNU | clockwise > (40 turns, 62/63 moves, 0.01s)
Game 292: O | GNU | clockwise > (33 turns, 58/49 moves, 0.01s)
Game 293: X | NODOTS | counterclockwise > (35 turns, 53/59 moves, 0.01s)
Game 294: O | GNU | clockwise > (48 turns, 71/70 moves, 0.01s)
Game 295: O | GNU | clockwise > (38 turns, 58/55 moves, 0.01s)
Game 296: O | GNU | clockwise > (33 turns, 57/57 moves, 0.01s)
Game 297: O | GNU | clockwise > (34 turns, 54/55 moves, 0.01s)
Game 298: X | NODOTS | counterclockwise > (31 turns, 47/54 moves, 0.01s)
Game 299: X | NODOTS | counterclockwise > (38 turns, 63/59 moves, 0.01s)
Game 300: O | GNU | clockwise > (40 turns, 61/61 moves, 0.01s)
Game 301: X | NODOTS | counterclockwise > (30 turns, 47/58 moves, 0.01s)
Game 302: O | GNU | clockwise > (29 turns, 50/50 moves, 0.01s)
Game 303: O | GNU | clockwise > (42 turns, 70/68 moves, 0.01s)
Game 304: O | GNU | clockwise > (35 turns, 55/55 moves, 0.01s)
Game 305: O | GNU | clockwise > (25 turns, 47/42 moves, 0.01s)
Game 306: O | GNU | clockwise > (44 turns, 70/71 moves, 0.01s)
Game 307: O | GNU | clockwise > (36 turns, 62/48 moves, 0.01s)
Game 308: X | NODOTS | counterclockwise > (29 turns, 44/52 moves, 0.01s)
Game 309: O | GNU | clockwise > (32 turns, 56/56 moves, 0.01s)
Game 310: O | GNU | clockwise > (30 turns, 55/50 moves, 0.01s)
Game 311: O | GNU | clockwise > (33 turns, 55/50 moves, 0.01s)
Game 312: O | GNU | clockwise > (38 turns, 60/61 moves, 0.02s)
Game 313: O | GNU | clockwise > (42 turns, 69/63 moves, 0.01s)
Game 314: X | NODOTS | counterclockwise > (30 turns, 51/50 moves, 0.01s)
Game 315: X | NODOTS | counterclockwise > (35 turns, 53/55 moves, 0.01s)
Game 316: O | GNU | clockwise > (35 turns, 58/51 moves, 0.01s)
Game 317: X | NODOTS | counterclockwise > (37 turns, 60/63 moves, 0.01s)
Game 318: O | GNU | clockwise > (40 turns, 65/58 moves, 0.01s)
Game 319: O | GNU | clockwise > (40 turns, 68/59 moves, 0.01s)
Game 320: X | NODOTS | counterclockwise > (35 turns, 53/61 moves, 0.01s)
Game 321: X | NODOTS | counterclockwise > (37 turns, 54/63 moves, 0.01s)
Game 322: O | GNU | clockwise > (37 turns, 64/61 moves, 0.01s)
Game 323: O | GNU | clockwise > (31 turns, 56/49 moves, 0.01s)
Game 324: O | GNU | clockwise > (37 turns, 63/52 moves, 0.01s)
Game 325: O | GNU | clockwise > (33 turns, 54/54 moves, 0.01s)
Game 326: O | GNU | clockwise > (33 turns, 57/54 moves, 0.01s)
Game 327: O | GNU | clockwise > (29 turns, 53/44 moves, 0.01s)
Game 328: X | NODOTS | counterclockwise > (31 turns, 51/51 moves, 0.01s)
Game 329: X | NODOTS | counterclockwise > (35 turns, 53/60 moves, 0.01s)
Game 330: O | GNU | clockwise > (40 turns, 67/60 moves, 0.01s)
Game 331: X | NODOTS | counterclockwise > (33 turns, 52/60 moves, 0.01s)
Game 332: X | NODOTS | counterclockwise > (31 turns, 57/56 moves, 0.01s)
Game 333: O | GNU | clockwise > (37 turns, 60/58 moves, 0.01s)
Game 334: O | GNU | clockwise > (42 turns, 66/67 moves, 0.01s)
Game 335: O | GNU | clockwise > (34 turns, 61/49 moves, 0.01s)
